0.000000,0.000000
0.100000,0.000020
0.200000,0.002770
0.300000,0.019420
0.400000,0.049481
0.500000,0.079162
0.600000,0.098482
0.700000,0.105452
0.800000,0.102662
0.900000,0.093832
1.000000,0.082132
1.100000,0.069751
1.200000,0.057991
1.300000,0.047491
1.400000,0.038471
1.500000,0.030931
1.600000,0.024740
1.700000,0.019720
1.800000,0.015680
1.900000,0.012460
2.000000,0.009900
2.100000,0.007860
2.200000,0.006250
2.300000,0.004980
2.400000,0.003970
2.500000,0.003170
2.600000,0.002530
2.700000,0.002030
2.800000,0.001630
2.900000,0.001310
3.000000,0.001060
3.100000,0.000850
3.200000,0.000690
3.300000,0.000560
3.400000,0.000460
3.500000,0.000370
3.600000,0.000300
3.700000,0.000250
3.800000,0.000200
3.900000,0.000170
4.000000,0.000140
4.100000,0.000110
4.200000,0.000090
4.300000,0.000080
4.400000,0.000070
4.500000,0.000050
4.600000,0.000050
4.700000,0.000040
4.800000,0.000030
4.900000,0.000030
5.000000,0.000020
5.100000,0.000020
5.200000,0.000020
5.300000,0.000010
5.400000,0.000010
5.500000,0.000010
5.600000,0.000010
5.700000,0.000010
5.800000,0.000010
5.900000,0.000000
6.000000,0.000000
6.100000,0.000000
